country_name,year,end_year,Region,Average Term Population,Freedom of Expression,Religious Freedom,Conflict,Anti-Elitism Polarization,People-Centrism Polarization,Political Opponents Polarization,Political Pluralism Polarization,Minority Rights Polarization,Rejection of Political Violence Polarization,Immigration Polarization,LGBT Social Equality Polarization,Cultural Superiority Polarization,Religious Principles Polarization,Gender Equality Polarization,Working Women Polarization,Economic Left-Right Scale Polarization,Welfare Polarization,Clientelism Polarization,GDP per Capita,Gini Index
Malta,2013,2019,Western Europe and North America,459660.7142857143,0.817,1.936,0.0,0.4561977711482712,0.0003948681775587,0.2923284392206626,0.1203924024868565,0.0131346585753362,0.0023004965054519,0.0776856325078201,0.3183784200912477,0.001595356385921,0.1993793124932096,0.0124852806350866,0.0024329875715137,0.0959788758728655,0.0009842958244704,0.6153206792968403,41789.87268312052,0.457156566
Mauritania,1992,2001,Sub-Saharan Africa,2410722.3,0.6129,-2.095,0.0,0.0099198456461642,0.068941939519076,0.0957042113998987,0.0428226351526184,0.0029823673871549,0.0807737537582282,0.0003328817708441,0.0013514867462488,0.0493762261158826,0.0055476555946403,0.111923853683129,0.0003238929315251,0.0225980604407815,0.0334426023740893,0.0519440419684281,2286.01457344559,0.61422032
Mauritania,2001,2006,Sub-Saharan Africa,2902167.333333333,0.7171666666666666,-2.095,0.0,0.4727174110035975,0.2777261938115465,0.2694177675025214,0.1962074773130829,0.3756421399968619,0.2517838597162714,0.3540844516939548,0.009107595781682,0.3843523188900163,0.2754511274467854,0.2004023149102887,0.0744209759087218,0.3615205934768826,0.0987117540488551,0.3935546169792977,2623.8777694001783,0.6039922
Mauritania,2006,2013,Sub-Saharan Africa,3452620.375,0.858375,-2.095,0.0,0.6287038329040557,0.3358316347297013,0.2822083950178886,0.2724513209236103,0.4900653900056048,0.330701548820709,0.419268329901624,0.0117035561534345,0.4585236825461913,0.3757816351542137,0.0071565407266798,0.0069435209924822,0.5061661273559142,0.117894983141158,0.5525710865035904,3344.9320452397933,0.5410423
Mauritania,2013,2013,Sub-Saharan Africa,3817497.0,0.784,-2.095,0.0,0.677100496092497,0.2821901663003757,0.3238072658895501,0.2155958673264586,0.6639566930686256,0.3241333277267553,0.4626081184463937,0.1274725226917333,0.6104878745430239,0.3452674032024679,0.2307115475966848,0.0018890088206375,0.3615539839587399,0.1924810660188205,0.500454893675226,3831.04711012348,0.52135205
Mauritius,1991,1995,Sub-Saharan Africa,1097476.8,0.8311999999999999,1.381,0.0,0.204631880737005,0.0454865559865738,0.1099668782521253,0.008270046726738,0.0086137251467444,0.0040229995673244,0.1015934848777803,0.0061010497604927,0.0149600851980053,0.0052711695918279,0.005210344632668,0.0022063118818116,0.0859137116048356,0.0049162528766957,0.3929864842832603,6078.908851514132,0.5627718
Mauritius,1995,2000,Sub-Saharan Africa,1154549.6666666667,0.8393333333333333,1.381,0.0,0.287718128100113,0.0001762792484186,0.0021495501158668,0.0115853997194321,0.0114833445608659,0.0025526124980528,0.1606642785835318,0.0021720399023216,0.0154636664698454,0.0076563735819261,0.0043279471652606,0.0034167581590902,0.0004898689099126,0.0070993960810224,0.411117126934465,7870.011634962027,0.5627718
Mauritius,2000,2005,Sub-Saharan Africa,1208401.3333333333,0.854,1.381,0.0,0.0396433443035899,0.0018263613019473,0.1020166031161301,0.0019814701213773,0.0049875366699762,0.0014557625305932,0.0002851617138115,0.0014697762341835,0.0185043592777632,0.0007443084251082,0.0028471750660425,0.0028075807039526,0.0494199943210498,0.0013043632274116,0.0036476589485386,10330.613509730581,0.5627718
Mauritius,2005,2010,Sub-Saharan Africa,1240638.3333333333,0.8623333333333334,1.4623333333333337,0.0,0.1450905950401327,0.0048064386417898,0.0116688051055104,0.0172904316735455,0.0012393465276589,0.008641568111381,0.0113082784051619,0.0035661453705431,0.0115319139549246,0.027539063212094,0.0012984426733771,0.0011646494428476,0.0087813031021175,0.0045269266278114,0.0025984793102621,13911.950165159235,0.5627718
Mauritius,2010,2014,Sub-Saharan Africa,1255654.6,0.8800000000000001,1.869,0.0,0.0082375416825506,0.0104502566024019,0.0015285014184077,0.0030410590943237,0.001384723376265,0.007247280996348,0.0036447487434602,0.0042992848719731,0.0041315555019947,0.0024505791631174,0.0186885598526,0.0019541892945355,0.0804783629432618,0.0073376903351898,0.2441729211877964,17466.5897984797,0.59333205
